    2626     148    2999    2810
     937    2999    3240    3293
    3908    9926    3758   10057
    4148    1029    4379   10112
    4786     940    4543   10295
    4848     941    5044    5000
    4849    4701    4380    4787
    4038    4102    3705    9975
    3293     938    3462     937
    2630      56    2416    2811
    3240    3410    9925    3463
    2631      53    2410    2805
    1166    2631    2805    3057
    3368    3150    3530    1301
   10012    1213    3531    3352
    4482    4661    4353    1351
    5045    4940    5216    1353
    5490    5622    5554    1480
    5787    6010    5865    1400
    6231    6448    6307    1490
    6851    1614    6649    6721
    7222    7104    1538    7032
   11191    7571    7722    1633
    7723    7889    7786    1677
    8034   11247   11320    8158
    7981    7756    1818    7847
   11079    7328    7091   11080
    6824    6934    1866    6959
    6571    6258    6414    1961
    5828    6102    5986    2109
    5525    5647    5354    2054
   10353    4758    4992    2055
    4481    4222    4434    2146
    3670    2193    3581   10077
    3152    3069    2286    9892
    2866    2474    2473    2865
    3000    2632    2866    2287
    2803    2408    2407    2802
    1212    3037    3151    3353
   10085    4103    1305    4336
    4482    4354    4662    1352
    4933    5217    5046    1481
    5341   10395   10511    5555
    5819    6011    5866    1489
    6261    6449    6308    1616
    6852    6721    1537    6677
    7223    7105    7060   10957
    7422    7572    7461   11018
    7787    7749    7890    1794
    7891    7856    7954    1726
    7643    7642    1818    7756
    6996    7284    7169   11154
    6954    6959   11080    1865
   10961    6269   10852    6418
   10734    2006   10782    5918
    2108    5828    5307    5520
    4759    5145    4993    2143
    4221    4486    2144    4295
    3870    3622    3856    2242
    3015    2285    9893    3222
    2285    2662    2868    3069
    2285    3069    3152    9893
    2660    2282    3001    2873
    2634      90    2482    2874
    2876    2484    2483    2875
    2278    3071    3258    3334
    2186    3535    3797    3865
    2249    4214    4428    4647
    4976    2137    4648   10453
    5295    2047    5159    2048
    5637    5770    2116    5467
    6096    6203    1999    5964
    1952    6544   10854    6692
    6520    6309   10781    6267
   10639    1810   10585    5867
    1718    5397    5267   10411
    1802    4850    4770    4705
    1669    4292    4239    4188
    3494    3413    1624    3733
    3201    3662    1530    3003
    2795    3685     152    2638
    2638     152    3746    2796
    2637      49    2402    2797
    3002    1484    3199    3367
    3696    1350    3565    3199
    1351    4104    4354    4482
    3864    3815    4104    1351
    3864    4103    3796    1350
    1303    3056    3153    9898
    2800    2405      50    2636
    3002    2636    2799    1484
    2799    2404    2403    2798
    2797    2402    2401    2796
    2638      48    2400    2795
    2639      47    2398    2793
    3107    2639    2793    1530
    3003    2792    2640    1623
    3004    2696    2789    1805
    2643    1714    3005    2788
    1714    3054    3154    9886
    9988    3536    9995    3975
